measurement,time,valuie
light,2025-04-24T20:08:54.651032Z,73.27
light,2025-04-24T20:13:54.584501Z,73.27
light,2025-04-24T20:18:54.620561Z,73.27
light,2025-04-24T20:23:54.553793Z,73.27
light,2025-04-24T20:28:54.590065Z,73.27
light,2025-04-24T20:33:54.627756Z,73.73
light,2025-04-24T20:38:54.664312Z,73.73
light,2025-04-24T20:43:54.598181Z,73.27
light,2025-04-24T20:48:54.634341Z,73.27
light,2025-04-24T20:53:54.670391Z,73.27
light,2025-04-24T20:58:54.604412Z,73.27
light,2025-04-24T21:03:54.640625Z,73.27
light,2025-04-24T21:08:54.582243Z,73.27
light,2025-04-24T21:13:54.583577Z,73.27
light,2025-04-24T21:18:54.587932Z,73.27
light,2025-04-24T21:23:54.595720Z,73.27
light,2025-04-24T21:28:54.596661Z,73.27
light,2025-04-24T21:33:54.597011Z,73.27
light,2025-04-24T21:38:54.601693Z,73.27
light,2025-04-25T11:49:35.407697Z,241.46
light,2025-04-25T11:54:35.456727Z,234.09
light,2025-04-25T11:59:35.472886Z,216.58
light,2025-04-25T12:04:35.505680Z,192.15
light,2025-04-25T12:09:35.437708Z,175.1
light,2025-04-25T12:14:35.477185Z,153.91
light,2025-04-25T12:19:35.507225Z,147.46
light,2025-04-25T12:24:35.410426Z,143.77
light,2025-04-25T12:29:35.407530Z,144.23
light,2025-04-25T12:34:35.415376Z,143.31
light,2025-04-25T12:39:35.428330Z,142.85
light,2025-04-25T12:44:35.431454Z,135.48
light,2025-04-25T12:49:35.423878Z,129.95
light,2025-04-25T12:54:35.424248Z,127.18
light,2025-04-25T12:59:35.425662Z,120.73
light,2025-04-25T13:04:35.422143Z,111.51
light,2025-04-25T13:09:35.423311Z,106.91
light,2025-04-25T13:14:35.428945Z,105.98
light,2025-04-25T13:19:35.429261Z,104.6
light,2025-04-25T13:24:35.429457Z,101.38
light,2025-04-25T13:29:35.432231Z,100.45
light,2025-04-25T13:34:35.424125Z,99.53
light,2025-04-25T13:39:35.424433Z,98.15
light,2025-04-25T13:44:35.432835Z,96.77
light,2025-04-25T13:49:35.424205Z,94.0
light,2025-04-25T13:54:35.430049Z,94.46
light,2025-04-25T13:59:35.425074Z,91.24
light,2025-04-25T14:04:35.439288Z,92.16
light,2025-04-25T14:09:35.433562Z,90.78
light,2025-04-25T14:14:35.442786Z,89.4
light,2025-04-25T14:19:35.446515Z,88.47
light,2025-04-25T14:24:35.471290Z,87.09
light,2025-04-25T14:29:35.505907Z,86.17
light,2025-04-25T14:34:35.534546Z,84.79
light,2025-04-25T14:39:35.574353Z,84.33
light,2025-04-25T14:44:35.488446Z,82.48
light,2025-04-25T14:49:35.556035Z,81.1
light,2025-04-25T14:54:35.574973Z,80.64
light,2025-04-25T14:59:35.485704Z,80.18
light,2025-04-25T15:04:35.490386Z,79.26
light,2025-04-25T15:09:35.508170Z,76.03
light,2025-04-25T15:14:35.496920Z,76.03
light,2025-04-25T15:19:35.496682Z,72.81
light,2025-04-25T15:24:35.491560Z,73.27
light,2025-04-25T15:29:35.490836Z,73.27
light,2025-04-25T15:34:35.489407Z,72.35
light,2025-04-25T15:39:35.487110Z,71.42
light,2025-04-25T15:44:35.504705Z,70.5
light,2025-04-25T15:49:35.495950Z,67.74
light,2025-04-25T15:54:35.507242Z,66.36
light,2025-04-25T15:59:35.512781Z,65.89
light,2025-04-25T16:04:35.513471Z,65.43
light,2025-04-25T16:09:35.503861Z,64.05
light,2025-04-25T16:14:35.516842Z,61.29
light,2025-04-25T16:19:35.519571Z,55.76
light,2025-04-25T16:24:35.534862Z,56.68
light,2025-04-25T16:29:35.544655Z,54.37
light,2025-04-25T16:34:35.547821Z,52.07
light,2025-04-25T16:39:35.546061Z,50.23
light,2025-04-25T16:44:35.561656Z,48.38
light,2025-04-25T16:49:35.568153Z,45.62
light,2025-04-25T16:54:35.556517Z,43.32
light,2025-04-25T16:59:35.700322Z,40.55
light,2025-04-25T17:04:35.590230Z,38.25
light,2025-04-25T17:09:35.619791Z,35.02
light,2025-04-25T17:14:35.650766Z,32.26
light,2025-04-25T17:19:35.579355Z,29.95
light,2025-04-25T17:24:35.611233Z,26.73
light,2025-04-25T17:29:35.560648Z,24.42
light,2025-04-25T17:34:35.568437Z,20.74
light,2025-04-25T17:42:14.157099Z,15.67
light,2025-04-25T17:47:14.192658Z,11.52
light,2025-04-25T17:52:14.228388Z,10.14
light,2025-04-25T17:57:14.162320Z,7.37
light,2025-04-25T18:02:14.198696Z,5.07
light,2025-04-25T18:10:20.271192Z,105.52
light,2025-04-25T18:19:48.933513Z,101.38
light,2025-04-25T18:30:15.938408Z,101.38
light,2025-04-25T18:35:15.974101Z,99.99
light,2025-04-25T18:40:15.908727Z,99.99
light,2025-04-25T18:45:15.944856Z,99.53
light,2025-04-25T18:50:15.980548Z,99.53
light,2025-04-25T18:55:15.914660Z,99.53
light,2025-04-25T19:00:15.951106Z,99.53
light,2025-04-25T19:05:15.987352Z,99.53
light,2025-04-25T19:10:15.920835Z,99.53
light,2025-04-25T19:15:15.957542Z,99.53
light,2025-04-25T19:20:15.993013Z,99.53
light,2025-04-25T19:25:15.927424Z,99.53
light,2025-04-25T19:30:15.963721Z,99.07
light,2025-04-25T19:35:15.999600Z,99.53
light,2025-04-25T19:40:15.933779Z,99.53
light,2025-04-25T19:45:15.969760Z,99.53
light,2025-04-25T19:50:16.006164Z,99.53
light,2025-04-25T19:55:15.940365Z,99.53
light,2025-04-25T20:00:15.977537Z,99.53
light,2025-04-25T20:05:16.012193Z,99.07
light,2025-04-25T20:10:15.946559Z,91.7
light,2025-04-25T20:15:15.983023Z,99.99
light,2025-04-25T20:20:15.942755Z,99.99
light,2025-04-25T20:25:15.974064Z,99.99
light,2025-04-25T20:30:15.916351Z,99.99
light,2025-04-25T20:35:15.943741Z,0.0
light,2025-04-25T20:40:15.860056Z,0.0
light,2025-04-25T20:45:15.880112Z,0.0
light,2025-04-25T20:50:15.899886Z,0.0
light,2025-04-25T20:55:15.916954Z,0.0
light,2025-04-25T21:00:15.838503Z,0.0
light,2025-04-25T21:05:15.855198Z,0.0
light,2025-04-25T21:10:15.776205Z,0.0
light,2025-04-25T21:15:15.796591Z,0.0
